verdict,eventId,date,name,numFights,minOrder,maxOrder,nameVote,titleVote,ratingVote,note
INVERTED-HIGH,5610b5bf-1b0c-4604-a9b8-4333ce476021,2022-08-13,"UFC Fight Night Vera vs Cruz",13,1,13,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,a4982a80-4b47-441d-b257-be9697237ef7,2022-08-06,"UFC Fight Night Santos vs Hill",10,1,11,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,a93b0a4b-3d96-4d34-b38b-2127e865afcc,2022-07-23,"UFC Fight Night Blaydes vs Aspinall",14,1,14,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,b62e9e88-1450-488f-803d-b38704513d05,2022-07-16,"UFC Fight Night Ortega vs Rodriguez",12,1,12,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,cf4f69ba-75db-478b-8537-4a703b211cad,2022-07-09,"UFC Fight Night Dos Anjos vs Fiziev",11,1,11,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,a2fac484-580c-45f2-b637-bf6fbaf752ff,2022-06-25,"UFC Fight Night Tsarukyan vs Gamrot",12,1,12,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,40bca870-474a-4ccb-939c-8624ce262d5f,2022-06-11,"UFC Fight Night Teixeira vs Prochazka",11,1,11,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,ab3fb145-f7ea-431c-8c74-c7ee38374fa6,2022-06-04,"UFC Fight Night Volkov vs Rozenstruik",14,1,14,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,d63bb7cf-8538-4a98-ab87-ca1504fe0b47,2022-05-21,"UFC Fight Night Holm vs Vieira",11,1,11,INVERTED,NEUTRAL,INVERTED,""
INVERTED-HIGH,b23c435d-d787-49eb-b02c-19d3ca3db5c9,2022-05-14,"UFC Fight Night Blachowicz vs Rakic",11,1,11,INVERTED,NEUTRAL,INVERTED,""
