division,rank,fighter,avgCardSlot,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Daniel Cormier",1.00,3,2019-08-17,yes
HEAVYWEIGHT,2,"Alistair Overeem",1.00,3,2020-05-16,yes
HEAVYWEIGHT,3,"Junior Dos Santos",1.00,3,2020-01-25,yes
HEAVYWEIGHT,4,"Curtis Blaydes",1.55,3,2020-06-20,no
HEAVYWEIGHT,5,"Alexander Volkov",1.86,3,2020-06-20,no
HEAVYWEIGHT,6,"Justin Willis",2.18,3,2019-03-23,yes
HEAVYWEIGHT,7,"Volkan Oezdemir",2.80,3,2019-12-21,yes
HEAVYWEIGHT,8,"Stefan Struve",2.88,3,2019-12-07,yes
HEAVYWEIGHT,9,"Jimi Manuwa",2.92,3,2019-06-01,yes
HEAVYWEIGHT,10,"Fabricio Werdum",3.04,3,2020-05-09,yes
HEAVYWEIGHT,11,"Blagoy Ivanov",3.16,3,2020-05-30,yes
HEAVYWEIGHT,12,"Tai Tuivasa",3.24,3,2019-10-05,no
LIGHT_HEAVYWEIGHT,1,"Robert Whittaker",1.00,3,2019-10-05,no
LIGHT_HEAVYWEIGHT,2,"Alexander Gustafsson",1.00,3,2019-06-01,yes
LIGHT_HEAVYWEIGHT,3,"Ronaldo Souza",1.18,3,2019-11-16,yes
LIGHT_HEAVYWEIGHT,4,"Chris Weidman",1.31,3,2019-10-19,yes
LIGHT_HEAVYWEIGHT,5,"Jan Blachowicz",1.55,3,2020-02-15,no
LIGHT_HEAVYWEIGHT,6,"Thiago Santos",1.73,3,2019-07-06,yes
LIGHT_HEAVYWEIGHT,7,"Glover Teixeira",1.86,3,2020-05-13,yes
LIGHT_HEAVYWEIGHT,8,"Luke Rockhold",2.53,3,2019-07-06,yes
LIGHT_HEAVYWEIGHT,9,"Corey Anderson",3.08,3,2020-02-15,yes
LIGHT_HEAVYWEIGHT,10,"Devin Clark",3.22,3,2020-06-06,yes
LIGHT_HEAVYWEIGHT,11,"Ion Cutelaba",3.49,3,2020-02-29,no
LIGHT_HEAVYWEIGHT,12,"Khalil Rountree Jr.",3.51,3,2019-09-28,no
MIDDLEWEIGHT,1,"Colby Covington",1.18,3,2019-12-14,yes
MIDDLEWEIGHT,2,"Jack Hermansson",1.18,3,2019-09-28,yes
MIDDLEWEIGHT,3,"Kamaru Usman",1.31,3,2019-12-14,no
MIDDLEWEIGHT,4,"Darren Till",1.51,3,2019-11-02,yes
MIDDLEWEIGHT,5,"Jared Cannonier",1.67,3,2019-09-28,no
