division,rank,fighter,avgCardSlot,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Daniel Cormier",1.00,3,2019-08-17,yes
HEAVYWEIGHT,2,"Alistair Overeem",1.00,3,2020-05-16,yes
HEAVYWEIGHT,3,"Junior Dos Santos",1.00,3,2020-01-25,yes
HEAVYWEIGHT,4,"Curtis Blaydes",2.00,3,2020-06-20,no
HEAVYWEIGHT,5,"Fabricio Werdum",2.33,3,2020-05-09,yes
HEAVYWEIGHT,6,"Alexander Volkov",2.33,3,2020-06-20,no
HEAVYWEIGHT,7,"Justin Willis",2.33,3,2019-03-23,yes
HEAVYWEIGHT,8,"Tai Tuivasa",3.00,3,2019-10-05,no
HEAVYWEIGHT,9,"Jimi Manuwa",3.00,3,2019-06-01,yes
HEAVYWEIGHT,10,"Volkan Oezdemir",3.00,3,2019-12-21,yes
HEAVYWEIGHT,11,"Stefan Struve",3.00,3,2019-12-07,yes
HEAVYWEIGHT,12,"Antonio Rogerio Nogueira",3.33,3,2019-05-11,yes
LIGHT_HEAVYWEIGHT,1,"Robert Whittaker",1.00,3,2019-10-05,no
LIGHT_HEAVYWEIGHT,2,"Alexander Gustafsson",1.00,3,2019-06-01,yes
LIGHT_HEAVYWEIGHT,3,"Ronaldo Souza",1.33,3,2019-11-16,yes
LIGHT_HEAVYWEIGHT,4,"Chris Weidman",1.33,3,2019-10-19,yes
LIGHT_HEAVYWEIGHT,5,"Luke Rockhold",2.00,3,2019-07-06,yes
LIGHT_HEAVYWEIGHT,6,"Jan Blachowicz",2.00,3,2020-02-15,no
LIGHT_HEAVYWEIGHT,7,"Thiago Santos",2.33,3,2019-07-06,yes
LIGHT_HEAVYWEIGHT,8,"Glover Teixeira",2.33,3,2020-05-13,yes
LIGHT_HEAVYWEIGHT,9,"Khalil Rountree Jr.",3.33,3,2019-09-28,no
LIGHT_HEAVYWEIGHT,10,"Corey Anderson",3.67,3,2020-02-15,yes
LIGHT_HEAVYWEIGHT,11,"Nikita Krylov",3.67,3,2020-03-14,no
LIGHT_HEAVYWEIGHT,12,"Ion Cutelaba",3.67,3,2020-02-29,no
MIDDLEWEIGHT,1,"Kamaru Usman",1.33,3,2019-12-14,no
MIDDLEWEIGHT,2,"Colby Covington",1.33,3,2019-12-14,yes
MIDDLEWEIGHT,3,"Darren Till",1.33,3,2019-11-02,yes
MIDDLEWEIGHT,4,"Jack Hermansson",1.33,3,2019-09-28,yes
MIDDLEWEIGHT,5,"Anderson Silva",1.67,3,2019-05-11,yes
