division,rank,fighter,score,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Daniel Cormier",100.00,3,2019-08-17,yes
HEAVYWEIGHT,2,"Alistair Overeem",80.00,3,2020-05-16,yes
HEAVYWEIGHT,3,"Junior Dos Santos",80.00,3,2020-01-25,yes
HEAVYWEIGHT,4,"Curtis Blaydes",77.24,3,2020-06-20,no
HEAVYWEIGHT,5,"Ryan Spann",73.51,3,2020-05-09,no
HEAVYWEIGHT,6,"Alexander Volkov",73.47,3,2020-06-20,no
HEAVYWEIGHT,7,"Sam Alvey",71.38,3,2020-05-09,yes
HEAVYWEIGHT,8,"Tai Tuivasa",68.78,3,2019-10-05,no
HEAVYWEIGHT,9,"Fabricio Werdum",68.52,3,2020-05-09,yes
HEAVYWEIGHT,10,"Justin Willis",65.80,3,2019-03-23,yes
HEAVYWEIGHT,11,"Jimi Manuwa",65.55,3,2019-06-01,yes
HEAVYWEIGHT,12,"Blagoy Ivanov",65.44,3,2020-05-30,yes
LIGHT_HEAVYWEIGHT,1,"Robert Whittaker",100.00,3,2019-10-05,no
LIGHT_HEAVYWEIGHT,2,"Thiago Santos",86.53,3,2019-07-06,yes
LIGHT_HEAVYWEIGHT,3,"Alexander Gustafsson",86.12,3,2019-06-01,yes
LIGHT_HEAVYWEIGHT,4,"Chris Weidman",81.53,3,2019-10-19,yes
LIGHT_HEAVYWEIGHT,5,"Ronaldo Souza",80.92,3,2019-11-16,yes
LIGHT_HEAVYWEIGHT,6,"Luke Rockhold",78.19,3,2019-07-06,yes
LIGHT_HEAVYWEIGHT,7,"Jan Blachowicz",77.14,3,2020-02-15,no
LIGHT_HEAVYWEIGHT,8,"Glover Teixeira",71.18,3,2020-05-13,yes
LIGHT_HEAVYWEIGHT,9,"Corey Anderson",69.08,3,2020-02-15,yes
LIGHT_HEAVYWEIGHT,10,"Devin Clark",68.12,3,2020-06-06,yes
LIGHT_HEAVYWEIGHT,11,"Paulo Costa",62.97,2,2019-08-17,no
LIGHT_HEAVYWEIGHT,12,"Alonzo Menifield",62.31,3,2020-06-06,no
MIDDLEWEIGHT,1,"Kamaru Usman",92.65,3,2019-12-14,no
MIDDLEWEIGHT,2,"Colby Covington",91.12,3,2019-12-14,yes
MIDDLEWEIGHT,3,"Anderson Silva",89.59,3,2019-05-11,yes
MIDDLEWEIGHT,4,"Darren Till",86.22,3,2019-11-02,yes
MIDDLEWEIGHT,5,"Kelvin Gastelum",85.00,3,2019-11-02,no
MIDDLEWEIGHT,6,"Jared Cannonier",79.69,3,2019-09-28,no
MIDDLEWEIGHT,7,"Jack Hermansson",77.80,3,2019-09-28,yes
MIDDLEWEIGHT,8,"Stephen Thompson",74.90,3,2019-11-02,yes
MIDDLEWEIGHT,9,"Vicente Luque",69.63,3,2020-05-09,no
MIDDLEWEIGHT,10,"Dave Branch",65.49,3,2019-03-30,yes
MIDDLEWEIGHT,11,"Derek Brunson",61.68,3,2019-08-17,yes
MIDDLEWEIGHT,12,"Ovince Saint Preux",60.41,3,2020-05-13,yes
WELTERWEIGHT,1,"Khabib Nurmagomedov",100.00,3,2019-09-07,yes
WELTERWEIGHT,2,"Max Holloway",92.35,3,2019-12-14,no
WELTERWEIGHT,3,"Dustin Poirier",89.80,3,2020-06-27,yes
WELTERWEIGHT,4,"Tyron Woodley",85.20,3,2020-05-30,yes
WELTERWEIGHT,5,"Frankie Edgar",83.92,3,2019-12-21,yes
WELTERWEIGHT,6,"Nate Diaz",80.71,3,2019-11-02,yes
WELTERWEIGHT,7,"Alexander Volkanovski",75.82,3,2019-12-14,yes
WELTERWEIGHT,8,"Rafael Dos Anjos",73.88,3,2020-01-25,yes
WELTERWEIGHT,9,"Gilbert Burns",71.92,3,2020-05-30,no
WELTERWEIGHT,10,"Demian Maia",69.47,3,2020-03-14,yes
WELTERWEIGHT,11,"Niko Price",65.71,3,2020-05-09,no
WELTERWEIGHT,12,"Michael Chiesa",65.58,3,2020-01-25,no
