division,rank,fighter,score,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Tom Aspinall",92.65,3,2025-10-25,yes
HEAVYWEIGHT,2,"Alex Pereira",85.84,3,2026-06-14,no
HEAVYWEIGHT,3,"Ciryl Gane",78.40,3,2026-06-14,no
HEAVYWEIGHT,4,"Curtis Blaydes",68.47,3,2026-04-11,no
HEAVYWEIGHT,5,"Justin Tafa",68.08,3,2025-02-08,yes
HEAVYWEIGHT,6,"Alexander Volkov",66.54,3,2026-05-09,no
HEAVYWEIGHT,7,"Tallison Teixeira",63.16,3,2026-05-30,no
HEAVYWEIGHT,8,"Waldo Cortes-Acosta",63.12,3,2026-01-24,yes
HEAVYWEIGHT,9,"Jairzinho Rozenstruik",62.99,3,2025-02-01,yes
HEAVYWEIGHT,10,"Aleksandar Rakic",62.14,3,2025-10-25,no
HEAVYWEIGHT,11,"Derrick Lewis",61.06,3,2026-06-14,no
HEAVYWEIGHT,12,"Jailton Almeida",60.41,3,2026-02-07,yes
HEAVYWEIGHT,13,"Sergey Spivak",57.55,3,2025-06-07,yes
HEAVYWEIGHT,14,"Rizvan Kuniev",56.00,2,2026-02-07,no
HEAVYWEIGHT,15,"Sergei Pavlovich",56.00,3,2026-05-30,no
HEAVYWEIGHT,16,"Ante Delija",54.14,3,2026-02-22,no
HEAVYWEIGHT,17,"Josh Hokit",51.19,3,2026-06-14,no
HEAVYWEIGHT,18,"Tai Tuivasa",49.49,3,2026-05-02,no
HEAVYWEIGHT,19,"Shamil Gaziev",46.39,3,2026-05-02,no
HEAVYWEIGHT,20,"Tanner Boser",42.38,3,2026-04-18,no
HEAVYWEIGHT,21,"Sean Sharaf",39.23,3,2026-05-02,no
HEAVYWEIGHT,22,"Vitor Petrino",38.29,3,2026-03-14,no
HEAVYWEIGHT,23,"Marcus Buchecha",38.08,3,2026-04-25,no
HEAVYWEIGHT,24,"Jhonata Diniz",37.82,3,2026-06-20,no
HEAVYWEIGHT,25,"Brando Pericic",37.60,3,2026-05-02,no
HEAVYWEIGHT,26,"Louie Sutherland",37.48,3,2026-05-02,no
HEAVYWEIGHT,27,"Marcin Tybura",37.26,3,2026-03-28,no
HEAVYWEIGHT,28,"Ryan Spann",36.97,3,2026-04-25,no
HEAVYWEIGHT,29,"Mario Pinto",36.82,3,2026-03-21,no
HEAVYWEIGHT,30,"Valter Walker",35.97,3,2026-03-28,no
HEAVYWEIGHT,31,"Kennedy Nzechukwu",34.78,3,2025-12-13,yes
HEAVYWEIGHT,32,"Steven Asplund",34.64,2,2026-03-14,no
HEAVYWEIGHT,33,"Chris Barnett",33.37,3,2025-10-25,yes
HEAVYWEIGHT,34,"Thomas Peterson",30.10,3,2025-10-11,no
HEAVYWEIGHT,35,"Mick Parkin",29.27,3,2026-03-21,no
HEAVYWEIGHT,36,"Guilherme Pat",29.21,2,2026-04-04,no
HEAVYWEIGHT,37,"Lukasz Brzeski",24.55,3,2025-07-19,yes
HEAVYWEIGHT,38,"Don'tale Mayes",22.57,3,2025-05-03,yes
HEAVYWEIGHT,39,"Denzel Freeman",22.41,2,2026-01-24,yes
HEAVYWEIGHT,40,"Martin Buday",19.93,3,2025-07-26,no
HEAVYWEIGHT,41,"Jamal Pogues",19.06,3,2025-02-01,yes
HEAVYWEIGHT,42,"Mohammed Usman",16.00,3,2025-06-21,yes
LIGHT_HEAVYWEIGHT,1,"Magomed Ankalaev",94.49,3,2025-10-04,no
LIGHT_HEAVYWEIGHT,2,"Carlos Ulberg",88.00,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,3,"Jiri Prochazka",85.31,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,4,"Paulo Costa",85.00,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,5,"Robert Whittaker",81.53,3,2025-07-26,no
LIGHT_HEAVYWEIGHT,6,"Jamahal Hill",80.61,3,2025-06-21,yes
LIGHT_HEAVYWEIGHT,7,"Khalil Rountree Jr.",78.57,3,2025-10-04,no
LIGHT_HEAVYWEIGHT,8,"Zhang Mingyang",71.67,3,2026-05-30,no
LIGHT_HEAVYWEIGHT,9,"Azamat Murzakanov",70.92,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,10,"Dominick Reyes",68.39,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,11,"Johnny Walker",65.82,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,12,"Anthony Smith",62.22,3,2025-04-26,yes
LIGHT_HEAVYWEIGHT,13,"Alonzo Menifield",59.92,3,2026-05-30,no
LIGHT_HEAVYWEIGHT,14,"Jan Blachowicz",59.89,3,2026-05-09,no
LIGHT_HEAVYWEIGHT,15,"Ion Cutelaba",57.37,3,2026-06-20,no
LIGHT_HEAVYWEIGHT,16,"Jim Crute",56.83,3,2025-09-27,yes
LIGHT_HEAVYWEIGHT,17,"Bogdan Guskov",56.06,3,2026-05-09,no
LIGHT_HEAVYWEIGHT,18,"Paul Craig",53.67,3,2025-09-06,yes
LIGHT_HEAVYWEIGHT,19,"Volkan Oezdemir",51.71,3,2025-11-22,yes
LIGHT_HEAVYWEIGHT,20,"Navajo Stirling",51.20,3,2026-06-20,no
LIGHT_HEAVYWEIGHT,21,"Modestas Bukauskas",50.32,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,22,"Brendson Ribeiro",50.00,3,2026-04-04,no
LIGHT_HEAVYWEIGHT,23,"Dustin Jacoby",49.14,3,2026-02-07,no
LIGHT_HEAVYWEIGHT,24,"Austen Lane",48.43,3,2026-03-21,no
LIGHT_HEAVYWEIGHT,25,"Billy Elekana",48.05,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,26,"Iwo Baraniewski",47.85,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,27,"Ivan Erslan",46.70,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,28,"Nikita Krylov",45.21,3,2026-01-24,no
LIGHT_HEAVYWEIGHT,29,"Oumar Sy",45.19,3,2026-03-14,no
LIGHT_HEAVYWEIGHT,30,"Junior Tafa",44.43,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,31,"Julius Walker",42.80,3,2026-02-07,no
LIGHT_HEAVYWEIGHT,32,"Rodolfo Bellato",42.14,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,33,"Tuco Tokkos",40.30,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,34,"Kevin Christian",36.36,2,2026-05-02,no
LIGHT_HEAVYWEIGHT,35,"Bruno Lopes",35.86,3,2026-03-28,no
LIGHT_HEAVYWEIGHT,36,"Raffael Cerqueira",34.50,3,2025-08-09,yes
LIGHT_HEAVYWEIGHT,37,"Marcin Prachnio",33.07,3,2025-07-19,yes
LIGHT_HEAVYWEIGHT,38,"Ibo Aslan",30.30,3,2025-12-06,yes
LIGHT_HEAVYWEIGHT,39,"Diyar Nurgozhay",29.81,3,2026-03-07,no
LIGHT_HEAVYWEIGHT,40,"Magomed Gadzhiyasulov",21.99,3,2025-01-11,yes
LIGHT_HEAVYWEIGHT,41,"Uran Satybaldiev",17.67,2,2025-08-23,no
MIDDLEWEIGHT,1,"Dricus Du Plessis",100.00,3,2025-08-16,no
MIDDLEWEIGHT,2,"Khamzat Chimaev",97.24,3,2026-05-09,no
MIDDLEWEIGHT,3,"Sean Strickland",93.88,3,2026-05-09,no
MIDDLEWEIGHT,4,"Kamaru Usman",85.20,3,2025-06-14,no
MIDDLEWEIGHT,5,"Israel Adesanya",83.67,3,2026-03-28,no
MIDDLEWEIGHT,6,"Caio Borralho",82.55,3,2026-03-07,no
MIDDLEWEIGHT,7,"Anthony Hernandez",77.80,3,2026-02-22,no
MIDDLEWEIGHT,8,"Reinier De Ridder",77.80,3,2025-10-18,yes
MIDDLEWEIGHT,9,"Nassourdine Imavov",77.80,3,2025-09-06,yes
MIDDLEWEIGHT,10,"Joe Pyfer",72.32,3,2026-03-28,no
MIDDLEWEIGHT,11,"Jared Cannonier",72.06,3,2025-08-16,no
MIDDLEWEIGHT,12,"Brendan Allen",68.70,3,2026-06-06,no
MIDDLEWEIGHT,13,"Roman Dolidze",64.35,3,2026-03-21,no
MIDDLEWEIGHT,14,"Sharabutdin Magomedov",60.41,3,2025-07-26,yes
MIDDLEWEIGHT,15,"Edmen Shahbazyan",57.80,3,2026-06-06,no
MIDDLEWEIGHT,16,"Julian Marquez",57.46,3,2025-03-01,yes
MIDDLEWEIGHT,17,"Jack Hermansson",57.10,3,2025-11-22,yes
MIDDLEWEIGHT,18,"Cesar Almeida",56.00,3,2025-12-13,no
MIDDLEWEIGHT,19,"Gregory Rodrigues",55.10,3,2026-03-07,no
MIDDLEWEIGHT,20,"Ikram Aliskerov",54.01,3,2025-10-25,no
MIDDLEWEIGHT,21,"Abdul Razak Alhassan",53.55,3,2025-01-11,yes
MIDDLEWEIGHT,22,"Abusupiyan Magomedov",53.07,2,2025-10-04,yes
MIDDLEWEIGHT,23,"Dustin Stoltzfus",52.05,3,2025-09-13,yes
MIDDLEWEIGHT,24,"Ozzy Diaz",51.73,2,2026-05-09,no
MIDDLEWEIGHT,25,"Marvin Vettori",50.04,3,2025-12-06,no
MIDDLEWEIGHT,26,"Michal Oleksiejczuk",49.73,3,2026-02-07,no
MIDDLEWEIGHT,27,"Marc-Andre Barriault",49.39,3,2026-02-07,no
MIDDLEWEIGHT,28,"Roman Kopylov",48.64,3,2026-05-09,no
MIDDLEWEIGHT,29,"Jun Yong Park",48.34,3,2025-10-25,yes
MIDDLEWEIGHT,30,"Ateba Abega Gautier",48.06,3,2026-01-24,yes
MIDDLEWEIGHT,31,"Armen Petrosyan",47.79,3,2025-03-08,yes
MIDDLEWEIGHT,32,"Christian Leroy Duncan",47.43,3,2026-03-21,no
MIDDLEWEIGHT,33,"Donte Johnson",47.32,3,2026-03-07,no
MIDDLEWEIGHT,34,"Nursulton Ruziboev",47.32,3,2025-05-17,no
MIDDLEWEIGHT,35,"Dusko Todorovic",46.43,3,2026-03-07,no
MIDDLEWEIGHT,36,"Brunno Ferreira",46.02,3,2026-03-07,no
MIDDLEWEIGHT,37,"Cameron Rowston",45.58,2,2026-01-31,yes
MIDDLEWEIGHT,38,"Abus Magomedov",45.06,3,2025-04-26,no
MIDDLEWEIGHT,39,"Torrez Finney",44.12,2,2026-01-31,yes
MIDDLEWEIGHT,40,"Andre Muniz",44.05,3,2025-10-04,yes
MIDDLEWEIGHT,41,"Bo Nickal",43.84,3,2026-06-14,no
MIDDLEWEIGHT,42,"Rodolfo Vieira",42.61,3,2026-04-25,no
MIDDLEWEIGHT,43,"Robert Valentin",42.07,3,2026-04-18,no
MIDDLEWEIGHT,44,"Kelvin Gastelum",41.93,3,2026-04-11,no
MIDDLEWEIGHT,45,"Mansur Abdul-Malik",41.76,3,2026-03-28,no
MIDDLEWEIGHT,46,"Michel Pereira",41.60,3,2026-02-22,no
MIDDLEWEIGHT,47,"Vicente Luque",41.20,3,2026-04-11,no
MIDDLEWEIGHT,48,"Jose Daniel Medina",40.86,3,2026-02-28,no
MIDDLEWEIGHT,49,"Yousri Belgaroui",38.65,2,2026-03-28,no
MIDDLEWEIGHT,50,"Dylan Budka",38.59,3,2025-02-15,yes
MIDDLEWEIGHT,51,"Cody Brundage",37.60,3,2026-05-16,no
MIDDLEWEIGHT,52,"Zach Reese",37.09,3,2026-02-22,no
MIDDLEWEIGHT,53,"Andrey Pulyaev",37.08,3,2026-01-24,no
MIDDLEWEIGHT,54,"Robert Bryczek",36.93,3,2026-05-02,no
MIDDLEWEIGHT,55,"Ihor Potieria",36.37,3,2025-01-11,yes
MIDDLEWEIGHT,56,"Marco Tulio",36.18,3,2026-05-09,no
MIDDLEWEIGHT,57,"Gerald Meerschaert",36.05,3,2026-05-02,no
MIDDLEWEIGHT,58,"Andre Petroski",34.86,3,2026-05-16,no
MIDDLEWEIGHT,59,"Jacob Malkoun",32.97,3,2026-05-02,no
MIDDLEWEIGHT,60,"Zachary Reese",32.82,2,2025-09-13,no
MIDDLEWEIGHT,61,"Eryk Anders",32.75,3,2026-03-14,no
MIDDLEWEIGHT,62,"Ryan Loder",32.50,3,2025-11-22,yes
MIDDLEWEIGHT,63,"Gilbert Urbina",32.37,3,2025-08-09,no
MIDDLEWEIGHT,64,"Sedriques Dumas",32.32,3,2026-04-25,no
MIDDLEWEIGHT,65,"Kyle Daukaus",31.17,3,2026-06-14,no
MIDDLEWEIGHT,66,"Nick Klein",31.00,2,2025-08-02,yes
MIDDLEWEIGHT,67,"Brad Tavares",30.55,3,2026-03-14,no
MIDDLEWEIGHT,68,"Eric McConico",29.60,3,2026-04-25,no
MIDDLEWEIGHT,69,"Antonio Trocoli",28.04,3,2026-03-21,no
MIDDLEWEIGHT,70,"Jackson McVey",26.99,3,2026-04-25,no
MIDDLEWEIGHT,71,"Ismail Naurdiev",26.81,3,2025-11-22,no
MIDDLEWEIGHT,72,"Tresean Gore",26.23,3,2026-04-04,no
MIDDLEWEIGHT,73,"Baisangur Susurkaev",24.55,2,2026-05-09,no
MIDDLEWEIGHT,74,"Azamat Bekoev",23.63,3,2026-04-04,no
MIDDLEWEIGHT,75,"Wes Schultz",20.55,2,2026-05-02,no
WELTERWEIGHT,1,"Islam Makhachev",100.00,3,2025-11-15,no
WELTERWEIGHT,2,"Jack Della Maddalena",89.80,3,2026-05-02,no
WELTERWEIGHT,3,"Belal Muhammad",80.00,3,2026-06-06,no
WELTERWEIGHT,4,"Gilbert Burns",80.00,3,2026-04-18,no
