division,rank,fighter,score,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Alex Pereira",90.75,3,2026-06-14,no
HEAVYWEIGHT,2,"Tom Aspinall",90.00,3,2025-10-25,yes
HEAVYWEIGHT,3,"Ciryl Gane",77.25,3,2026-06-14,no
HEAVYWEIGHT,4,"Curtis Blaydes",70.33,3,2026-04-11,no
HEAVYWEIGHT,5,"Tallison Teixeira",67.00,3,2026-05-30,no
HEAVYWEIGHT,6,"Jairzinho Rozenstruik",66.81,3,2025-02-01,yes
HEAVYWEIGHT,7,"Derrick Lewis",66.29,3,2026-06-14,no
HEAVYWEIGHT,8,"Alexander Volkov",64.83,3,2026-05-09,no
HEAVYWEIGHT,9,"Sergey Spivak",63.33,3,2025-06-07,yes
HEAVYWEIGHT,10,"Waldo Cortes-Acosta",62.24,3,2026-01-24,yes
HEAVYWEIGHT,11,"Jailton Almeida",62.00,3,2026-02-07,yes
HEAVYWEIGHT,12,"Aleksandar Rakic",61.67,3,2025-10-25,no
HEAVYWEIGHT,13,"Sergei Pavlovich",56.00,3,2026-05-30,no
HEAVYWEIGHT,14,"Rizvan Kuniev",56.00,2,2026-02-07,no
HEAVYWEIGHT,15,"Ante Delija",52.12,3,2026-02-22,no
HEAVYWEIGHT,16,"Tai Tuivasa",51.73,3,2026-05-02,no
HEAVYWEIGHT,17,"Josh Hokit",48.38,3,2026-06-14,no
HEAVYWEIGHT,18,"Shamil Gaziev",44.48,3,2026-05-02,no
HEAVYWEIGHT,19,"Vitor Petrino",39.57,3,2026-03-14,no
HEAVYWEIGHT,20,"Mario Pinto",38.96,3,2026-03-21,no
HEAVYWEIGHT,21,"Marcin Tybura",37.03,3,2026-03-28,no
HEAVYWEIGHT,22,"Louie Sutherland",36.93,3,2026-05-02,no
HEAVYWEIGHT,23,"Ryan Spann",36.57,3,2026-04-25,no
HEAVYWEIGHT,24,"Jhonata Diniz",35.85,3,2026-06-20,no
HEAVYWEIGHT,25,"Sean Sharaf",35.80,3,2026-05-02,no
HEAVYWEIGHT,26,"Chris Barnett",35.00,3,2025-10-25,yes
HEAVYWEIGHT,27,"Marcus Buchecha",34.58,3,2026-04-25,no
HEAVYWEIGHT,28,"Valter Walker",34.14,3,2026-03-28,no
HEAVYWEIGHT,29,"Steven Asplund",33.58,2,2026-03-14,no
HEAVYWEIGHT,30,"Brando Pericic",32.84,3,2026-05-02,no
HEAVYWEIGHT,31,"Thomas Peterson",30.07,3,2025-10-11,no
HEAVYWEIGHT,32,"Kennedy Nzechukwu",29.67,3,2025-12-13,yes
HEAVYWEIGHT,33,"Mick Parkin",28.63,3,2026-03-21,no
HEAVYWEIGHT,34,"Guilherme Pat",27.45,2,2026-04-04,no
HEAVYWEIGHT,35,"Don'tale Mayes",24.30,3,2025-05-03,yes
HEAVYWEIGHT,36,"Lukasz Brzeski",23.55,3,2025-07-19,yes
HEAVYWEIGHT,37,"Martin Buday",22.15,3,2025-07-26,no
HEAVYWEIGHT,38,"Denzel Freeman",21.13,2,2026-01-24,yes
