division,rank,fighter,avgCardSlot,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Tom Aspinall",1.49,3,2025-10-25,yes
HEAVYWEIGHT,2,"Alex Pereira",1.51,3,2026-06-14,no
HEAVYWEIGHT,3,"Ciryl Gane",1.88,3,2026-06-14,no
HEAVYWEIGHT,4,"Curtis Blaydes",2.82,3,2026-04-11,no
HEAVYWEIGHT,5,"Justin Tafa",2.88,3,2025-02-08,yes
HEAVYWEIGHT,6,"Tallison Teixeira",2.94,3,2026-05-30,no
HEAVYWEIGHT,7,"Jairzinho Rozenstruik",2.94,3,2025-02-01,yes
HEAVYWEIGHT,8,"Rizvan Kuniev",3.00,2,2026-02-07,no
HEAVYWEIGHT,9,"Sergei Pavlovich",3.00,3,2026-05-30,no
HEAVYWEIGHT,10,"Derrick Lewis",3.14,3,2026-06-14,no
HEAVYWEIGHT,11,"Alexander Volkov",3.31,3,2026-05-09,no
HEAVYWEIGHT,12,"Waldo Cortes-Acosta",3.43,3,2026-01-24,yes
HEAVYWEIGHT,13,"Jailton Almeida",3.49,3,2026-02-07,yes
HEAVYWEIGHT,14,"Ante Delija",4.12,3,2026-02-22,no
HEAVYWEIGHT,15,"Aleksandar Rakic",4.57,3,2025-10-25,no
HEAVYWEIGHT,16,"Josh Hokit",4.80,3,2026-06-14,no
HEAVYWEIGHT,17,"Shamil Gaziev",5.37,3,2026-05-02,no
HEAVYWEIGHT,18,"Tai Tuivasa",5.43,3,2026-05-02,no
HEAVYWEIGHT,19,"Sergey Spivak",5.49,3,2025-06-07,yes
HEAVYWEIGHT,20,"Tanner Boser",6.86,3,2026-04-18,no
HEAVYWEIGHT,21,"Sean Sharaf",6.96,3,2026-05-02,no
HEAVYWEIGHT,22,"Vitor Petrino",7.45,3,2026-03-14,no
HEAVYWEIGHT,23,"Marcus Buchecha",7.82,3,2026-04-25,no
HEAVYWEIGHT,24,"Jhonata Diniz",7.84,3,2026-06-20,no
HEAVYWEIGHT,25,"Brando Pericic",7.94,3,2026-05-02,no
HEAVYWEIGHT,26,"Kennedy Nzechukwu",8.18,3,2025-12-13,yes
HEAVYWEIGHT,27,"Steven Asplund",8.37,2,2026-03-14,no
HEAVYWEIGHT,28,"Louie Sutherland",8.59,3,2026-05-02,no
HEAVYWEIGHT,29,"Mario Pinto",8.69,3,2026-03-21,no
HEAVYWEIGHT,30,"Thomas Peterson",8.73,3,2025-10-11,no
HEAVYWEIGHT,31,"Marcin Tybura",8.82,3,2026-03-28,no
HEAVYWEIGHT,32,"Ryan Spann",9.04,3,2026-04-25,no
HEAVYWEIGHT,33,"Valter Walker",9.18,3,2026-03-28,no
HEAVYWEIGHT,34,"Chris Barnett",10.33,3,2025-10-25,yes
HEAVYWEIGHT,35,"Guilherme Pat",10.38,2,2026-04-04,no
HEAVYWEIGHT,36,"Don'tale Mayes",10.63,3,2025-05-03,yes
HEAVYWEIGHT,37,"Mick Parkin",10.76,3,2026-03-21,no
HEAVYWEIGHT,38,"Jamal Pogues",11.43,3,2025-02-01,yes
HEAVYWEIGHT,39,"Denzel Freeman",11.50,2,2026-01-24,yes
HEAVYWEIGHT,40,"Martin Buday",11.51,3,2025-07-26,no
HEAVYWEIGHT,41,"Mohammed Usman",11.88,3,2025-06-21,yes
HEAVYWEIGHT,42,"Lukasz Brzeski",12.80,3,2025-07-19,yes
LIGHT_HEAVYWEIGHT,1,"Carlos Ulberg",1.18,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,2,"Robert Whittaker",1.31,3,2025-07-26,no
LIGHT_HEAVYWEIGHT,3,"Magomed Ankalaev",1.37,3,2025-10-04,no
LIGHT_HEAVYWEIGHT,4,"Jamahal Hill",1.61,3,2025-06-21,yes
LIGHT_HEAVYWEIGHT,5,"Zhang Mingyang",1.69,3,2026-05-30,no
LIGHT_HEAVYWEIGHT,6,"Jiri Prochazka",1.98,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,7,"Paulo Costa",2.00,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,8,"Khalil Rountree Jr.",2.02,3,2025-10-04,no
LIGHT_HEAVYWEIGHT,9,"Alonzo Menifield",3.04,3,2026-05-30,no
LIGHT_HEAVYWEIGHT,10,"Dominick Reyes",3.27,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,11,"Johnny Walker",3.27,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,12,"Anthony Smith",3.41,3,2025-04-26,yes
LIGHT_HEAVYWEIGHT,13,"Azamat Murzakanov",3.84,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,14,"Volkan Oezdemir",3.98,3,2025-11-22,yes
LIGHT_HEAVYWEIGHT,15,"Ion Cutelaba",4.02,3,2026-06-20,no
LIGHT_HEAVYWEIGHT,16,"Paul Craig",4.22,3,2025-09-06,yes
LIGHT_HEAVYWEIGHT,17,"Austen Lane",4.67,3,2026-03-21,no
LIGHT_HEAVYWEIGHT,18,"Dustin Jacoby",4.71,3,2026-02-07,no
LIGHT_HEAVYWEIGHT,19,"Modestas Bukauskas",4.73,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,20,"Jan Blachowicz",4.96,3,2026-05-09,no
LIGHT_HEAVYWEIGHT,21,"Brendson Ribeiro",4.96,3,2026-04-04,no
LIGHT_HEAVYWEIGHT,22,"Jim Crute",5.12,3,2025-09-27,yes
LIGHT_HEAVYWEIGHT,23,"Bogdan Guskov",5.51,3,2026-05-09,no
LIGHT_HEAVYWEIGHT,24,"Iwo Baraniewski",5.63,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,25,"Navajo Stirling",5.80,3,2026-06-20,no
LIGHT_HEAVYWEIGHT,26,"Oumar Sy",5.80,3,2026-03-14,no
LIGHT_HEAVYWEIGHT,27,"Julius Walker",6.12,3,2026-02-07,no
LIGHT_HEAVYWEIGHT,28,"Billy Elekana",6.18,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,29,"Nikita Krylov",6.53,3,2026-01-24,no
LIGHT_HEAVYWEIGHT,30,"Ivan Erslan",6.86,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,31,"Junior Tafa",6.92,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,32,"Tuco Tokkos",7.53,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,33,"Rodolfo Bellato",7.73,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,34,"Kevin Christian",8.25,2,2026-05-02,no
LIGHT_HEAVYWEIGHT,35,"Raffael Cerqueira",8.35,3,2025-08-09,yes
LIGHT_HEAVYWEIGHT,36,"Bruno Lopes",9.24,3,2026-03-28,no
LIGHT_HEAVYWEIGHT,37,"Ibo Aslan",10.29,3,2025-12-06,yes
LIGHT_HEAVYWEIGHT,38,"Marcin Prachnio",10.82,3,2025-07-19,yes
LIGHT_HEAVYWEIGHT,39,"Diyar Nurgozhay",11.22,3,2026-03-07,no
LIGHT_HEAVYWEIGHT,40,"Magomed Gadzhiyasulov",11.33,3,2025-01-11,yes
LIGHT_HEAVYWEIGHT,41,"Uran Satybaldiev",11.63,2,2025-08-23,no
MIDDLEWEIGHT,1,"Dricus Du Plessis",1.00,3,2025-08-16,no
MIDDLEWEIGHT,2,"Sean Strickland",1.00,3,2026-05-09,no
MIDDLEWEIGHT,3,"Israel Adesanya",1.00,3,2026-03-28,no
MIDDLEWEIGHT,4,"Khamzat Chimaev",1.18,3,2026-05-09,no
MIDDLEWEIGHT,5,"Anthony Hernandez",1.18,3,2026-02-22,no
MIDDLEWEIGHT,6,"Nassourdine Imavov",1.18,3,2025-09-06,yes
MIDDLEWEIGHT,7,"Reinier De Ridder",1.18,3,2025-10-18,yes
MIDDLEWEIGHT,8,"Kamaru Usman",1.31,3,2025-06-14,no
MIDDLEWEIGHT,9,"Caio Borralho",1.51,3,2026-03-07,no
MIDDLEWEIGHT,10,"Jared Cannonier",2.53,3,2025-08-16,no
MIDDLEWEIGHT,11,"Joe Pyfer",2.59,3,2026-03-28,no
MIDDLEWEIGHT,12,"Brendan Allen",2.61,3,2026-06-06,no
MIDDLEWEIGHT,13,"Cesar Almeida",3.00,3,2025-12-13,no
MIDDLEWEIGHT,14,"Roman Dolidze",3.04,3,2026-03-21,no
MIDDLEWEIGHT,15,"Sharabutdin Magomedov",3.06,3,2025-07-26,yes
MIDDLEWEIGHT,16,"Abdul Razak Alhassan",3.55,3,2025-01-11,yes
MIDDLEWEIGHT,17,"Dustin Stoltzfus",3.88,3,2025-09-13,yes
MIDDLEWEIGHT,18,"Jack Hermansson",4.06,3,2025-11-22,yes
MIDDLEWEIGHT,19,"Edmen Shahbazyan",4.20,3,2026-06-06,no
MIDDLEWEIGHT,20,"Julian Marquez",4.20,3,2025-03-01,yes
MIDDLEWEIGHT,21,"Marc-Andre Barriault",4.80,3,2026-02-07,no
MIDDLEWEIGHT,22,"Christian Leroy Duncan",5.18,3,2026-03-21,no
MIDDLEWEIGHT,23,"Nursulton Ruziboev",5.27,3,2025-05-17,no
MIDDLEWEIGHT,24,"Bo Nickal",5.27,3,2026-06-14,no
MIDDLEWEIGHT,25,"Michal Oleksiejczuk",5.47,3,2026-02-07,no
MIDDLEWEIGHT,26,"Abus Magomedov",5.53,3,2025-04-26,no
MIDDLEWEIGHT,27,"Ikram Aliskerov",5.59,3,2025-10-25,no
MIDDLEWEIGHT,28,"Ozzy Diaz",6.00,2,2026-05-09,no
MIDDLEWEIGHT,29,"Armen Petrosyan",6.20,3,2025-03-08,yes
MIDDLEWEIGHT,30,"Gregory Rodrigues",6.31,3,2026-03-07,no
MIDDLEWEIGHT,31,"Jun Yong Park",6.39,3,2025-10-25,yes
MIDDLEWEIGHT,32,"Abusupiyan Magomedov",6.50,2,2025-10-04,yes
MIDDLEWEIGHT,33,"Michel Pereira",6.55,3,2026-02-22,no
MIDDLEWEIGHT,34,"Dylan Budka",6.92,3,2025-02-15,yes
MIDDLEWEIGHT,35,"Cameron Rowston",7.00,2,2026-01-31,yes
MIDDLEWEIGHT,36,"Jose Daniel Medina",7.00,3,2026-02-28,no
MIDDLEWEIGHT,37,"Ateba Abega Gautier",7.06,3,2026-01-24,yes
MIDDLEWEIGHT,38,"Dusko Todorovic",7.14,3,2026-03-07,no
MIDDLEWEIGHT,39,"Torrez Finney",7.25,2,2026-01-31,yes
MIDDLEWEIGHT,40,"Andre Muniz",7.35,3,2025-10-04,yes
MIDDLEWEIGHT,41,"Kelvin Gastelum",7.39,3,2026-04-11,no
MIDDLEWEIGHT,42,"Marvin Vettori",7.43,3,2025-12-06,no
MIDDLEWEIGHT,43,"Robert Valentin",7.43,3,2026-04-18,no
MIDDLEWEIGHT,44,"Mansur Abdul-Malik",7.45,3,2026-03-28,no
MIDDLEWEIGHT,45,"Vicente Luque",7.45,3,2026-04-11,no
MIDDLEWEIGHT,46,"Yousri Belgaroui",7.62,2,2026-03-28,no
MIDDLEWEIGHT,47,"Kyle Daukaus",7.78,3,2026-06-14,no
MIDDLEWEIGHT,48,"Rodolfo Vieira",7.90,3,2026-04-25,no
MIDDLEWEIGHT,49,"Robert Bryczek",8.00,3,2026-05-02,no
MIDDLEWEIGHT,50,"Zach Reese",8.02,3,2026-02-22,no
MIDDLEWEIGHT,51,"Roman Kopylov",8.12,3,2026-05-09,no
MIDDLEWEIGHT,52,"Andrey Pulyaev",8.16,3,2026-01-24,no
MIDDLEWEIGHT,53,"Donte Johnson",8.18,3,2026-03-07,no
MIDDLEWEIGHT,54,"Ihor Potieria",8.18,3,2025-01-11,yes
MIDDLEWEIGHT,55,"Gilbert Urbina",8.41,3,2025-08-09,no
MIDDLEWEIGHT,56,"Brunno Ferreira",8.51,3,2026-03-07,no
MIDDLEWEIGHT,57,"Nick Klein",8.63,2,2025-08-02,yes
MIDDLEWEIGHT,58,"Zachary Reese",8.75,2,2025-09-13,no
MIDDLEWEIGHT,59,"Ryan Loder",9.12,3,2025-11-22,yes
MIDDLEWEIGHT,60,"Eryk Anders",9.29,3,2026-03-14,no
MIDDLEWEIGHT,61,"Andre Petroski",9.33,3,2026-05-16,no
MIDDLEWEIGHT,62,"Marco Tulio",9.35,3,2026-05-09,no
MIDDLEWEIGHT,63,"Gerald Meerschaert",9.45,3,2026-05-02,no
MIDDLEWEIGHT,64,"Brad Tavares",9.71,3,2026-03-14,no
MIDDLEWEIGHT,65,"Sedriques Dumas",9.88,3,2026-04-25,no
MIDDLEWEIGHT,66,"Jacob Malkoun",9.94,3,2026-05-02,no
MIDDLEWEIGHT,67,"Cody Brundage",10.37,3,2026-05-16,no
MIDDLEWEIGHT,68,"Eric McConico",10.78,3,2026-04-25,no
MIDDLEWEIGHT,69,"Ismail Naurdiev",10.78,3,2025-11-22,no
MIDDLEWEIGHT,70,"Antonio Trocoli",10.92,3,2026-03-21,no
MIDDLEWEIGHT,71,"Jackson McVey",11.16,3,2026-04-25,no
