division,rank,fighter,avgCardSlot,fightsUsed,lastFight,divisionInferred
HEAVYWEIGHT,1,"Alex Pereira",1.33,3,2026-06-14,no
HEAVYWEIGHT,2,"Tom Aspinall",1.67,3,2025-10-25,yes
HEAVYWEIGHT,3,"Ciryl Gane",2.00,3,2026-06-14,no
HEAVYWEIGHT,4,"Curtis Blaydes",2.67,3,2026-04-11,no
HEAVYWEIGHT,5,"Tallison Teixeira",2.67,3,2026-05-30,no
HEAVYWEIGHT,6,"Jairzinho Rozenstruik",2.67,3,2025-02-01,yes
HEAVYWEIGHT,7,"Derrick Lewis",2.67,3,2026-06-14,no
HEAVYWEIGHT,8,"Sergei Pavlovich",3.00,3,2026-05-30,no
HEAVYWEIGHT,9,"Rizvan Kuniev",3.00,2,2026-02-07,no
HEAVYWEIGHT,10,"Alexander Volkov",3.33,3,2026-05-09,no
HEAVYWEIGHT,11,"Waldo Cortes-Acosta",3.33,3,2026-01-24,yes
HEAVYWEIGHT,12,"Jailton Almeida",3.67,3,2026-02-07,yes
HEAVYWEIGHT,13,"Sergey Spivak",4.33,3,2025-06-07,yes
HEAVYWEIGHT,14,"Aleksandar Rakic",4.67,3,2025-10-25,no
HEAVYWEIGHT,15,"Ante Delija",4.67,3,2026-02-22,no
HEAVYWEIGHT,16,"Tai Tuivasa",5.33,3,2026-05-02,no
HEAVYWEIGHT,17,"Josh Hokit",5.67,3,2026-06-14,no
HEAVYWEIGHT,18,"Shamil Gaziev",5.67,3,2026-05-02,no
HEAVYWEIGHT,19,"Vitor Petrino",7.00,3,2026-03-14,no
HEAVYWEIGHT,20,"Sean Sharaf",7.67,3,2026-05-02,no
HEAVYWEIGHT,21,"Mario Pinto",8.00,3,2026-03-21,no
HEAVYWEIGHT,22,"Jhonata Diniz",8.00,3,2026-06-20,no
HEAVYWEIGHT,23,"Marcus Buchecha",8.33,3,2026-04-25,no
HEAVYWEIGHT,24,"Steven Asplund",8.50,2,2026-03-14,no
HEAVYWEIGHT,25,"Marcin Tybura",8.67,3,2026-03-28,no
HEAVYWEIGHT,26,"Thomas Peterson",8.67,3,2025-10-11,no
HEAVYWEIGHT,27,"Louie Sutherland",9.00,3,2026-05-02,no
HEAVYWEIGHT,28,"Ryan Spann",9.00,3,2026-04-25,no
HEAVYWEIGHT,29,"Brando Pericic",9.00,3,2026-05-02,no
HEAVYWEIGHT,30,"Valter Walker",9.33,3,2026-03-28,no
HEAVYWEIGHT,31,"Kennedy Nzechukwu",9.67,3,2025-12-13,yes
HEAVYWEIGHT,32,"Chris Barnett",10.00,3,2025-10-25,yes
HEAVYWEIGHT,33,"Don'tale Mayes",10.33,3,2025-05-03,yes
HEAVYWEIGHT,34,"Guilherme Pat",10.50,2,2026-04-04,no
HEAVYWEIGHT,35,"Mick Parkin",11.00,3,2026-03-21,no
HEAVYWEIGHT,36,"Martin Buday",11.33,3,2025-07-26,no
HEAVYWEIGHT,37,"Denzel Freeman",12.00,2,2026-01-24,yes
HEAVYWEIGHT,38,"Mohammed Usman",12.00,3,2025-06-21,yes
HEAVYWEIGHT,39,"Lukasz Brzeski",13.00,3,2025-07-19,yes
LIGHT_HEAVYWEIGHT,1,"Carlos Ulberg",1.33,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,2,"Robert Whittaker",1.33,3,2025-07-26,no
LIGHT_HEAVYWEIGHT,3,"Magomed Ankalaev",1.67,3,2025-10-04,no
LIGHT_HEAVYWEIGHT,4,"Khalil Rountree Jr.",1.67,3,2025-10-04,no
LIGHT_HEAVYWEIGHT,5,"Jamahal Hill",1.67,3,2025-06-21,yes
LIGHT_HEAVYWEIGHT,6,"Zhang Mingyang",1.67,3,2026-05-30,no
LIGHT_HEAVYWEIGHT,7,"Paulo Costa",2.00,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,8,"Jiri Prochazka",2.33,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,9,"Dominick Reyes",3.33,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,10,"Johnny Walker",3.33,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,11,"Anthony Smith",3.67,3,2025-04-26,yes
LIGHT_HEAVYWEIGHT,12,"Alonzo Menifield",3.67,3,2026-05-30,no
LIGHT_HEAVYWEIGHT,13,"Jan Blachowicz",4.33,3,2026-05-09,no
LIGHT_HEAVYWEIGHT,14,"Dustin Jacoby",4.33,3,2026-02-07,no
LIGHT_HEAVYWEIGHT,15,"Volkan Oezdemir",4.33,3,2025-11-22,yes
LIGHT_HEAVYWEIGHT,16,"Azamat Murzakanov",4.67,3,2026-04-11,no
LIGHT_HEAVYWEIGHT,17,"Ion Cutelaba",5.00,3,2026-06-20,no
LIGHT_HEAVYWEIGHT,18,"Austen Lane",5.00,3,2026-03-21,no
LIGHT_HEAVYWEIGHT,19,"Bogdan Guskov",5.33,3,2026-05-09,no
LIGHT_HEAVYWEIGHT,20,"Iwo Baraniewski",5.33,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,21,"Modestas Bukauskas",5.33,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,22,"Jim Crute",5.67,3,2025-09-27,yes
LIGHT_HEAVYWEIGHT,23,"Brendson Ribeiro",5.67,3,2026-04-04,no
LIGHT_HEAVYWEIGHT,24,"Nikita Krylov",6.00,3,2026-01-24,no
LIGHT_HEAVYWEIGHT,25,"Oumar Sy",6.00,3,2026-03-14,no
LIGHT_HEAVYWEIGHT,26,"Julius Walker",6.00,3,2026-02-07,no
LIGHT_HEAVYWEIGHT,27,"Billy Elekana",6.33,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,28,"Ivan Erslan",6.67,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,29,"Navajo Stirling",6.67,3,2026-06-20,no
LIGHT_HEAVYWEIGHT,30,"Junior Tafa",7.00,3,2026-06-06,no
LIGHT_HEAVYWEIGHT,31,"Tuco Tokkos",7.00,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,32,"Kevin Christian",8.00,2,2026-05-02,no
LIGHT_HEAVYWEIGHT,33,"Rodolfo Bellato",8.33,3,2026-05-16,no
LIGHT_HEAVYWEIGHT,34,"Raffael Cerqueira",8.33,3,2025-08-09,yes
LIGHT_HEAVYWEIGHT,35,"Bruno Lopes",9.00,3,2026-03-28,no
LIGHT_HEAVYWEIGHT,36,"Ibo Aslan",9.33,3,2025-12-06,yes
LIGHT_HEAVYWEIGHT,37,"Diyar Nurgozhay",10.00,3,2026-03-07,no
LIGHT_HEAVYWEIGHT,38,"Marcin Prachnio",10.67,3,2025-07-19,yes
LIGHT_HEAVYWEIGHT,39,"Magomed Gadzhiyasulov",11.00,3,2025-01-11,yes
