name,division,placementScore,careerFights,wins,losses,winRate,finishRate,koShare,subShare,decShare,inAppFollowers
"Alexander Volkanovski",FEATHERWEIGHT,100.0,17,14,3,0.824,0.286,0.286,0.000,0.714,2
"Max Holloway",LIGHTWEIGHT,100.0,32,16,8,0.667,0.500,0.438,0.063,0.500,4
"Islam Makhachev",WELTERWEIGHT,100.0,18,15,1,0.938,0.667,0.133,0.533,0.333,3
"Dricus Du Plessis",MIDDLEWEIGHT,100.0,10,9,1,0.900,0.667,0.444,0.222,0.333,0
"Khamzat Chimaev",MIDDLEWEIGHT,97.2,10,9,1,0.900,0.667,0.222,0.444,0.333,6
"Dustin Poirier",LIGHTWEIGHT,97.2,32,16,6,0.727,0.563,0.438,0.125,0.438,0
"Merab Dvalishvili",BANTAMWEIGHT,95.4,17,14,3,0.824,0.143,0.071,0.071,0.857,1
"Magomed Ankalaev",LIGHT_HEAVYWEIGHT,94.5,16,12,2,0.857,0.500,0.500,0.000,0.500,0
"Sean Strickland",MIDDLEWEIGHT,93.9,25,14,6,0.700,0.286,0.286,0.000,0.714,2
"Charles Oliveira",LIGHTWEIGHT,93.9,37,16,7,0.696,0.813,0.250,0.563,0.188,3
"Tom Aspinall",HEAVYWEIGHT,92.7,10,7,1,0.875,1.000,0.714,0.286,0.000,1
"Ilia Topuria",LIGHTWEIGHT,92.3,9,7,1,0.875,1.000,0.857,0.143,0.000,12
"Paddy Pimblett",LIGHTWEIGHT,89.9,8,5,1,0.833,0.600,0.400,0.200,0.400,0
"Jack Della Maddalena",WELTERWEIGHT,89.8,10,8,2,0.800,0.625,0.500,0.125,0.375,3
"Justin Gaethje",LIGHTWEIGHT,89.6,16,11,5,0.688,0.636,0.636,0.000,0.364,5
"Carlos Ulberg",LIGHT_HEAVYWEIGHT,88.0,11,10,1,0.909,0.700,0.600,0.100,0.300,1
"Petr Yan",BANTAMWEIGHT,86.5,16,12,4,0.750,0.333,0.333,0.000,0.667,1
"Alex Pereira",HEAVYWEIGHT,85.8,12,9,3,0.750,0.778,0.778,0.000,0.222,11
"Jiri Prochazka",LIGHT_HEAVYWEIGHT,85.3,9,6,3,0.667,1.000,0.833,0.167,0.000,5
"Kamaru Usman",MIDDLEWEIGHT,85.2,19,13,3,0.813,0.308,0.308,0.000,0.692,1
"Paulo Costa",LIGHT_HEAVYWEIGHT,85.0,9,5,4,0.556,0.400,0.400,0.000,0.600,1
"Zhang Weili",WOMENS_STRAWWEIGHT,85.0,13,9,3,0.750,0.444,0.222,0.222,0.556,0
"Valentina Shevchenko",WOMENS_FLYWEIGHT,85.0,19,12,3,0.800,0.417,0.250,0.167,0.583,1
"Alexandre Pantoja",FLYWEIGHT,85.0,18,12,4,0.750,0.500,0.167,0.333,0.500,0
