CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 0.6 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 615 (division inferred from opponents for 214, marked ~) | skipped (no division): 24


━━━ HEAVYWEIGHT ━━━  (42 ranked)
 1. Tom Aspinall ~                1.49  [1/13P 2/14P 2/13P]  last 2025-10-25
 2. Alex Pereira                  1.51  [2/7o 1/14P 1/10P]  last 2026-06-14
 3. Ciryl Gane                    1.88  [2/7o 1/13P 3/14o]  last 2026-06-14
 4. Curtis Blaydes                2.82  [3/12P 3/12n 2/14P]  last 2026-04-11
 5. Justin Tafa ~                 2.88  [3/12P 2/13n 4/10P]  last 2025-02-08
 6. Tallison Teixeira             2.94  [3/16n 4/13P 1/12n]  last 2026-05-30
 7. Jairzinho Rozenstruik ~       2.94  [3/11n 4/12P 1/11n]  last 2025-02-01
 8. Rizvan Kuniev                 3.00  [3/13n 3/12n]  last 2026-02-07
 9. Sergei Pavlovich              3.00  [3/16n 3/12n 3/11n]  last 2026-05-30
10. Derrick Lewis                 3.14  [4/7o 3/11P 1/12n]  last 2026-06-14
11. Alexander Volkov              3.31  [3/14P 4/13P 3/14o]  last 2026-05-09
12. Waldo Cortes-Acosta ~         3.43  [3/11P 5/14n 2/13n]  last 2026-01-24
13. Jailton Almeida ~             3.49  [3/13n 4/13P 4/13P]  last 2026-02-07
14. Ante Delija                   4.12  [4/14n 2/13n 8/13n]  last 2026-02-22
15. Aleksandar Rakic              4.57  [5/13P 3/13P 6/13P]  last 2025-10-25
16. Josh Hokit                    4.80  [4/7o 3/12P 10/11P]  last 2026-06-14
17. Shamil Gaziev                 5.37  [5/14n 5/14n 7/11n]  last 2026-05-02
18. Tai Tuivasa                   5.43  [5/14n 7/14n 4/13P]  last 2026-05-02
19. Sergey Spivak ~               5.49  [8/13P 4/13P 1/10n]  last 2025-06-07
20. Tanner Boser                  6.86  [9/14n 5/12o 4/14n]  last 2026-04-18
21. Sean Sharaf                   6.96  [5/14n 9/12n 9/12n]  last 2026-05-02
22. Vitor Petrino                 7.45  [8/14n 8/12n 5/12n]  last 2026-03-14
23. Marcus Buchecha               7.82  [8/16n 5/12n 12/12n]  last 2026-04-25
24. Jhonata Diniz                 7.84  [9/15n 4/12n 11/11P]  last 2026-06-20
25. Brando Pericic                7.94  [5/14n 11/15n 11/12n]  last 2026-05-02
26. Kennedy Nzechukwu ~           8.18  [5/12n 10/12n 14/14o]  last 2025-12-13
27. Steven Asplund                8.37  [8/14n 9/12n]  last 2026-03-14
28. Louie Sutherland              8.59  [7/14n 11/15n 9/13P]  last 2026-05-02
29. Mario Pinto                   8.69  [9/15n 11/15n 4/12n]  last 2026-03-21
30. Thomas Peterson               8.73  [8/12n 11/12n 7/11n]  last 2025-10-11
31. Marcin Tybura                 8.82  [9/16n 9/16n 8/13n]  last 2026-03-28
32. Ryan Spann                    9.04  [8/16n 12/14P 7/13n]  last 2026-04-25
33. Valter Walker                 9.18  [9/16n 9/13P 10/12n]  last 2026-03-28
