CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 1 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 560 (division inferred from opponents for 174, marked ~) | skipped (no division): 18


━━━ HEAVYWEIGHT ━━━  (39 ranked)
 1. Alex Pereira                  1.33  [2/7o 1/14P 1/10P]  last 2026-06-14
 2. Tom Aspinall ~                1.67  [1/13P 2/14P 2/13P]  last 2025-10-25
 3. Ciryl Gane                    2.00  [2/7o 1/13P 3/14o]  last 2026-06-14
 4. Curtis Blaydes                2.67  [3/12P 3/12n 2/14P]  last 2026-04-11
 5. Tallison Teixeira             2.67  [3/16n 4/13P 1/12n]  last 2026-05-30
 6. Jairzinho Rozenstruik ~       2.67  [3/11n 4/12P 1/11n]  last 2025-02-01
 7. Derrick Lewis                 2.67  [4/7o 3/11P 1/12n]  last 2026-06-14
 8. Sergei Pavlovich              3.00  [3/16n 3/12n 3/11n]  last 2026-05-30
 9. Rizvan Kuniev                 3.00  [3/13n 3/12n]  last 2026-02-07
10. Alexander Volkov              3.33  [3/14P 4/13P 3/14o]  last 2026-05-09
11. Waldo Cortes-Acosta ~         3.33  [3/11P 5/14n 2/13n]  last 2026-01-24
12. Jailton Almeida ~             3.67  [3/13n 4/13P 4/13P]  last 2026-02-07
13. Sergey Spivak ~               4.33  [8/13P 4/13P 1/10n]  last 2025-06-07
14. Aleksandar Rakic              4.67  [5/13P 3/13P 6/13P]  last 2025-10-25
15. Ante Delija                   4.67  [4/14n 2/13n 8/13n]  last 2026-02-22
16. Tai Tuivasa                   5.33  [5/14n 7/14n 4/13P]  last 2026-05-02
17. Josh Hokit                    5.67  [4/7o 3/12P 10/11P]  last 2026-06-14
18. Shamil Gaziev                 5.67  [5/14n 5/14n 7/11n]  last 2026-05-02
19. Vitor Petrino                 7.00  [8/14n 8/12n 5/12n]  last 2026-03-14
20. Sean Sharaf                   7.67  [5/14n 9/12n 9/12n]  last 2026-05-02
21. Mario Pinto                   8.00  [9/15n 11/15n 4/12n]  last 2026-03-21
22. Jhonata Diniz                 8.00  [9/15n 4/12n 11/11P]  last 2026-06-20
23. Marcus Buchecha               8.33  [8/16n 5/12n 12/12n]  last 2026-04-25
24. Steven Asplund                8.50  [8/14n 9/12n]  last 2026-03-14
25. Marcin Tybura                 8.67  [9/16n 9/16n 8/13n]  last 2026-03-28
